datetime,name,lat,lon,WV,WD,TEMP,HUMI,PRES,PM01,PM25,PM10
20250501T0000+0400,Fidas Station (ACCESS),24.5254,54.4319,1.6648,254.4183,29.531116,57.452686,1005.398376,30.036135,42.536506,82.799201
20250501T0100+0400,Fidas Station (ACCESS),24.5254,54.4319,1.5165,35.622,29.234166,56.649497,1005.302185,30.104723,44.356343,98.31618
20250501T0200+0400,Fidas Station (ACCESS),24.5254,54.4319,4.2033,68.0965,28.784226,59.684829,1005.123596,31.211206,46.711157,96.563014
20250501T0300+0400,Fidas Station (ACCESS),24.5254,54.4319,3.1236,50.5354,29.529438,52.291094,1005.164856,27.60971,41.925875,91.016414
20250501T0400+0400,Fidas Station (ACCESS),24.5254,54.4319,2.0522,0.0,29.411497,47.183303,1005.302185,23.064892,37.340351,85.078046
20250501T0500+0400,Fidas Station (ACCESS),24.5254,54.4319,0.0,0.0,28.910562,58.886217,1005.755493,26.399265,40.609073,88.114099
20250501T0600+0400,Fidas Station (ACCESS),24.5254,54.4319,3.2473,198.9832,29.789454,50.737179,1006.332397,22.347587,36.678175,84.883503
20250501T0700+0400,Fidas Station (ACCESS),24.5254,54.4319,3.4533,181.2134,31.196772,42.112332,1006.62085,22.427349,38.280644,99.62586
20250501T0800+0400,Fidas Station (ACCESS),24.5254,54.4319,2.283,219.84,33.881926,46.703678,1007.293945,25.90043,43.470417,113.806372
20250501T0900+0400,Fidas Station (ACCESS),24.5254,54.4319,2.5838,0.0,36.233402,34.533539,1007.63739,24.407798,45.112715,142.18232
20250501T1000+0400,Fidas Station (ACCESS),24.5254,54.4319,9.6799,272.276,35.434046,46.016103,1007.925842,28.256933,45.574732,110.496789
20250501T1100+0400,Fidas Station (ACCESS),24.5254,54.4319,4.9657,281.2955,36.843044,46.120078,1007.63739,31.975042,48.816661,115.723422
20250501T1200+0400,Fidas Station (ACCESS),24.5254,54.4319,8.1305,257.5383,39.229147,19.079289,1007.184082,13.583373,25.795149,72.243724
20250501T1300+0400,Fidas Station (ACCESS),24.5254,54.4319,5.3819,278.4062,39.004598,27.965507,1006.648376,21.858156,39.291829,123.99753
20250501T1400+0400,Fidas Station (ACCESS),24.5254,54.4319,6.7665,276.4561,37.090469,34.317766,1006.318665,26.912059,49.82079,145.52624
20250501T1500+0400,Fidas Station (ACCESS),24.5254,54.4319,4.3929,342.0643,34.086538,54.085966,1006.043945,37.064265,49.84341,94.050297
20250501T1600+0400,Fidas Station (ACCESS),24.5254,54.4319,7.4464,359.5759,32.785408,63.00786,1005.892883,41.147639,52.531671,84.702121
20250501T1700+0400,Fidas Station (ACCESS),24.5254,54.4319,4.1374,357.9665,33.279418,54.268543,1005.947815,38.680744,49.446408,79.248787
20250501T1800+0400,Fidas Station (ACCESS),24.5254,54.4319,3.3585,353.8577,31.423001,60.38557,1006.195068,38.805764,49.200506,80.374674
20250501T1900+0400,Fidas Station (ACCESS),24.5254,54.4319,2.5508,26.0147,31.684486,52.282319,1006.34613,35.649468,46.978209,84.037791
20250501T2000+0400,Fidas Station (ACCESS),24.5254,54.4319,3.0824,266.0305,31.177884,52.517552,1006.634644,31.105956,42.793501,84.327421
20250501T2100+0400,Fidas Station (ACCESS),24.5254,54.4319,1.5783,0.0,31.092891,52.534531,1007.019226,29.703726,44.623238,103.307665
20250501T2200+0400,Fidas Station (ACCESS),24.5254,54.4319,2.0357,227.0468,29.969304,63.275336,1006.978027,27.430471,43.639401,99.508996
20250501T2300+0400,Fidas Station (ACCESS),24.5254,54.4319,2.5096,91.6613,29.987981,61.790865,1006.524719,23.232052,41.975274,101.472536
20250502T0000+0400,Fidas Station (ACCESS),24.5254,54.4319,2.9382,78.3738,29.701732,65.045405,1006.208801,19.774344,40.213742,107.485248
20250502T0100+0400,Fidas Station (ACCESS),24.5254,54.4319,4.1745,72.6776,28.810459,67.421016,1005.892883,22.577906,42.230768,106.740301
20250502T0200+0400,Fidas Station (ACCESS),24.5254,54.4319,3.0948,85.7674,29.231017,66.915636,1005.700562,18.691038,37.94171,98.399501
20250502T0300+0400,Fidas Station (ACCESS),24.5254,54.4319,0.0,0.0,28.848023,71.164532,1005.824158,22.490246,40.141594,90.412706
20250502T0400+0400,Fidas Station (ACCESS),24.5254,54.4319,0.0,0.0,27.480579,75.044641,1005.87915,28.694293,44.664064,92.724626
20250502T0500+0400,Fidas Station (ACCESS),24.5254,54.4319,2.031625,129.619225,27.93093725,69.99551725,1006.473221,33.911488000000006,47.562716,88.53166275
20250502T0600+0400,Fidas Station (ACCESS),24.5254,54.4319,1.64215,142.588125,28.6644485,70.85346175,1007.23901375,30.72887225,45.231756000000004,86.96135775
20250502T0700+0400,Fidas Station (ACCESS),24.5254,54.4319,2.7929500000000003,195.540425,29.98861025,66.782995,1007.9910737499999,31.10803325,46.690955,94.047139
20250502T0800+0400,Fidas Station (ACCESS),24.5254,54.4319,2.1202,228.6727,31.779238,62.9014035,1008.475281,36.2628005,56.087168,142.09658100000001
20250502T0900+0400,Fidas Station (ACCESS),24.5254,54.4319,2.4663500000000003,269.81515,34.325149,51.022016,1008.6607365,34.64192625,55.404106,154.0021805
20250502T1000+0400,Fidas Station (ACCESS),24.5254,54.4319,4.184775,263.91845,36.946662,28.076017,1008.16966275,15.4766435,40.2307445,155.250732
20250502T1100+0400,Fidas Station (ACCESS),24.5254,54.4319,4.355775,52.176425,39.42253325,15.7393735,1007.843384,8.3088395,24.54901,93.443747
20250502T1200+0400,Fidas Station (ACCESS),24.5254,54.4319,3.72425,303.26187500000003,39.259315,18.612399,1007.184082,11.277821,28.373061749999998,98.3432505
20250502T1300+0400,Fidas Station (ACCESS),24.5254,54.4319,3.83655,1.6066500000000001,38.867035,21.489717,1006.579651,10.9569495,28.327661749999997,93.9260275
20250502T1400+0400,Fidas Station (ACCESS),24.5254,54.4319,5.22525,179.8594,39.361884,22.05567,1005.8997495,16.530535,35.575381,117.61550825
20250502T1500+0400,Fidas Station (ACCESS),24.5254,54.4319,6.46255,276.235075,38.4892875,24.5244775,1005.5975035,14.32844925,40.0300095,159.39684025
20250502T1600+0400,Fidas Station (ACCESS),24.5254,54.4319,8.561125,273.1521,37.12588225,31.956320249999997,1005.31935125,16.43237125,45.33297575,186.37197350000002
20250502T1700+0400,Fidas Station (ACCESS),24.5254,54.4319,13.593725,269.1395,34.354634250000004,41.022398,1005.5013735,17.22023325,39.826803749999996,116.6347635
20250502T1800+0400,Fidas Station (ACCESS),24.5254,54.4319,11.841349999999998,265.3411,32.626126,51.3837385,1005.3639835,29.57868325,51.155881,121.47327324999999
20250502T1900+0400,Fidas Station (ACCESS),24.5254,54.4319,3.5543,268.5188,31.389948,62.9428985,1005.9821475,27.191326,51.8069725,145.2244365
20250502T2000+0400,Fidas Station (ACCESS),24.5254,54.4319,5.517875,253.13295,30.3684565,71.04901225,1006.06797775,24.24811,46.39235575,127.68370200000001
20250502T2100+0400,Fidas Station (ACCESS),24.5254,54.4319,1.42685,255.356225,30.274544,69.72203125,1006.40455625,24.67871875,43.335206,106.028893
20250502T2200+0400,Fidas Station (ACCESS),24.5254,54.4319,1.5783,214.9238,30.5848215,66.814808,1006.3529965,24.5793505,43.284877,102.90393175
20250502T2300+0400,Fidas Station (ACCESS),24.5254,54.4319,0.0,0.0,30.5492505,58.7340705,1005.975281,24.444875,40.66411875,89.06892225
20250503T0000+0400,Fidas Station (ACCESS),24.5254,54.4319,0.0,0.0,30.94210725,56.30308425,1005.51510625,27.519668,47.4695785,112.77625275
20250503T0100+0400,Fidas Station (ACCESS),24.5254,54.4319,2.741425,257.999725,30.065419249999998,59.73290575,1005.2300875,27.7440865,50.6410075,130.609593
20250503T0200+0400,Fidas Station (ACCESS),24.5254,54.4319,3.5233499999999998,252.821225,29.82476275,64.35334725,1004.9656675,29.0454115,52.819469,131.14288825
20250503T0300+0400,Fidas Station (ACCESS),24.5254,54.4319,4.16005,209.53795,30.584297499999998,52.30464,1005.082397,21.69644075,42.5211035,114.59227275
20250503T0400+0400,Fidas Station (ACCESS),24.5254,54.4319,2.3798500000000002,185.6325,30.945465499999997,51.4442155,1005.2815855,23.9891165,40.055209,88.1203065
20250503T0500+0400,Fidas Station (ACCESS),24.5254,54.4319,3.2596000000000003,167.3642,30.647989,47.131362249999995,1005.480774,17.70072975,31.55605975,77.05844725
20250503T0600+0400,Fidas Station (ACCESS),24.5254,54.4319,2.5439666666666665,175.99873333333335,30.75921466666667,64.83395566666667,1005.9569703333333,24.369118333333333,40.265259,86.23462666666667
20250503T0700+0400,Fidas Station (ACCESS),24.5254,54.4319,2.8242,185.4833,31.250916,71.02595933333333,1006.5567626666667,23.716229,40.817762333333334,87.81314633333334
20250503T0800+0400,Fidas Station (ACCESS),24.5254,54.4319,2.000033333333333,0.0,32.50671533333333,64.963307,1007.0924686666667,31.09809633333333,54.42442166666666,133.61121500000002
20250503T0900+0400,Fidas Station (ACCESS),24.5254,54.4319,2.7335,156.95273333333333,34.276112,48.18986633333333,1007.0009153333334,25.591925,46.79841533333333,127.56313266666666
20250503T1000+0400,Fidas Station (ACCESS),24.5254,54.4319,4.5893,252.1168,36.435076333333335,30.198349333333336,1006.964294,16.433162333333332,36.16102266666667,129.41061
20250503T1100+0400,Fidas Station (ACCESS),24.5254,54.4319,8.612666666666668,245.1938,38.416851,23.381283,1006.3278196666666,18.055988,36.84781833333333,117.18777966666666
20250503T1200+0400,Fidas Station (ACCESS),24.5254,54.4319,10.960166666666666,271.11330000000004,39.75260766666667,18.828856333333334,1005.6181233333333,16.539853333333333,31.892852333333334,89.12048466666666
20250503T1300+0400,Fidas Station (ACCESS),24.5254,54.4319,14.114033333333333,268.0262333333333,39.989679,15.818134333333333,1004.8763633333333,28.380285,46.78538699999999,126.563672
20250503T1400+0400,Fidas Station (ACCESS),24.5254,54.4319,14.568666666666667,272.7941666666666,40.029902,15.368271333333334,1004.4642943333333,23.419848666666667,41.348827,118.50733500000001
20250503T1500+0400,Fidas Station (ACCESS),24.5254,54.4319,14.5563,273.22076666666663,38.950384,16.881804333333335,1004.0338743333333,9.609431666666666,28.269208666666668,110.32988833333333
20250503T1600+0400,Fidas Station (ACCESS),24.5254,54.4319,11.980766666666668,269.1193666666666,38.177262000000006,20.711106,1003.9240113333334,17.158937666666667,37.635228000000005,127.68047966666666
20250503T1700+0400,Fidas Station (ACCESS),24.5254,54.4319,8.809066666666666,271.7486666666666,37.41372233333333,20.171958,1004.0750733333334,16.437025666666667,36.15156233333334,120.98975833333333
20250503T1800+0400,Fidas Station (ACCESS),24.5254,54.4319,7.136033333333333,268.7604666666667,35.180047,29.47255266666667,1004.052185,14.158757666666666,32.894439,114.77443233333332
20250503T1900+0400,Fidas Station (ACCESS),24.5254,54.4319,4.5247,262.93063333333333,34.33704066666667,31.208028333333335,1004.1392213333334,18.891756,40.25993733333333,138.07478966666667
20250503T2000+0400,Fidas Station (ACCESS),24.5254,54.4319,2.0810333333333335,259.7776,33.84198266666667,32.40073,1004.4368289999999,16.174479333333334,31.571045333333334,87.878468
20250503T2100+0400,Fidas Station (ACCESS),24.5254,54.4319,1.5343,0.0,32.95861299999999,41.46564566666667,1004.5787356666666,14.317278666666667,29.23194033333333,83.79903733333333
20250503T2200+0400,Fidas Station (ACCESS),24.5254,54.4319,4.0742,234.75896666666668,32.03390166666667,46.377441999999995,1004.5283813333334,16.082078,32.67336066666667,91.625614
20250503T2300+0400,Fidas Station (ACCESS),24.5254,54.4319,1.3269333333333333,115.10353333333335,32.88887033333333,34.65112533333333,1003.7316893333333,14.800381999999999,32.24625233333333,101.22605
