datetime,name,lat,lon,WV,WD,TEMP,HUMI,PRES,PM01,PM25,PM10
20250401T0000+0400,Fidas Station (ACCESS),24.5254,54.4319,4.44025,80.13980000000001,23.6295505,76.770547,1011.490387,18.919975,32.17741,75.2603155
20250401T0100+0400,Fidas Station (ACCESS),24.5254,54.4319,7.3557500000000005,82.9879,23.666800000000002,72.8821355,1011.167603,16.886842,30.082681,66.165042
20250401T0200+0400,Fidas Station (ACCESS),24.5254,54.4319,7.2136,82.06514999999999,24.213589,64.497672,1010.796692,16.0437035,28.975274499999998,69.6503875
20250401T0300+0400,Fidas Station (ACCESS),24.5254,54.4319,2.19025,8.363050000000001,23.650955500000002,66.45690250000001,1010.8310245,18.592997,33.3787295,80.7590275
20250401T0400+0400,Fidas Station (ACCESS),24.5254,54.4319,6.5481,87.31915000000001,24.019889,61.3479655,1011.009613,13.969707,26.123632,65.7548115
20250401T0500+0400,Fidas Station (ACCESS),24.5254,54.4319,1.6772,270.7105,22.662412,68.013774,1011.469788,17.019557499999998,29.114539,66.77683300000001
20250401T0600+0400,Fidas Station (ACCESS),24.5254,54.4319,0.0,0.0,23.425881,65.808722,1011.771973,15.499845,26.983378000000002,63.9182845
20250401T0700+0400,Fidas Station (ACCESS),24.5254,54.4319,3.0948,44.4492,23.768372,55.010303,1012.390137,15.251977,27.6533195,70.7428955
20250401T0800+0400,Fidas Station (ACCESS),24.5254,54.4319,2.3489,318.9608,26.436107,43.845582,1013.14563,13.553053,26.8653175,80.8548955
20250401T0900+0400,Fidas Station (ACCESS),24.5254,54.4319,3.0,73.6993,28.751698,34.662126,1013.296692,12.455036,21.696249,61.432375
20250401T1000+0400,Fidas Station (ACCESS),24.5254,54.4319,2.7651,225.1462,30.84043,28.973024,1013.090637,10.935303000000001,20.30567,62.508995999999996
20250401T1100+0400,Fidas Station (ACCESS),24.5254,54.4319,3.8324,311.6771,32.587931,25.170177,1012.568665,11.646653,20.455379999999998,59.247692
20250401T1200+0400,Fidas Station (ACCESS),24.5254,54.4319,5.9464,352.7426,30.783349,45.321657,1011.538452,17.579924,28.437942999999997,65.3021705
20250401T1300+0400,Fidas Station (ACCESS),24.5254,54.4319,5.215,346.77175,30.843893,38.5999515,1010.961548,16.912273,26.2860035,58.209230500000004
20250401T1400+0400,Fidas Station (ACCESS),24.5254,54.4319,7.07555,356.10705,30.132469,41.2148015,1010.2129215,16.627368,24.313828,48.314376
20250401T1500+0400,Fidas Station (ACCESS),24.5254,54.4319,5.565250000000001,0.1483,30.0619565,34.2142665,1009.835144,13.728696,20.2293375,44.383342
20250401T1600+0400,Fidas Station (ACCESS),24.5254,54.4319,7.724600000000001,180.6009,28.714553,43.4762275,1009.622253,21.3889745,28.089807,49.870629
20250401T1700+0400,Fidas Station (ACCESS),24.5254,54.4319,6.51515,5.5424,27.3991535,57.8947265,1009.9656675,22.63126,29.079483,46.011039499999995
20250401T1800+0400,Fidas Station (ACCESS),24.5254,54.4319,7.8709,1.48035,26.3099815,59.765816,1010.398376,24.8700245,30.981879,47.9082245
20250401T1900+0400,Fidas Station (ACCESS),24.5254,54.4319,8.2129,11.332,25.657738,62.074176,1010.975281,23.485764500000002,29.251438,48.160343999999995
20250401T2000+0400,Fidas Station (ACCESS),24.5254,54.4319,7.0055,21.516,25.172543,61.806318,1011.222534,26.945513499999997,32.1660425,47.3283495
20250401T2100+0400,Fidas Station (ACCESS),24.5254,54.4319,3.6552,27.7176,24.898466,62.217643,1011.236267,27.917158999999998,33.1266445,48.680894
20250401T2200+0400,Fidas Station (ACCESS),24.5254,54.4319,3.6346,59.8515,24.613687,63.590507,1010.947815,30.5264925,35.343090000000004,50.985811
20250401T2300+0400,Fidas Station (ACCESS),24.5254,54.4319,1.1745,112.1556,24.610958,63.827266,1010.810425,32.7117,36.9702875,49.3660275
20250402T0000+0400,Fidas Station (ACCESS),24.5254,54.4319,2.5467,100.8511,24.241816,66.033463,1010.64563,31.1137935,35.8833495,49.517063
20250402T0100+0400,Fidas Station (ACCESS),24.5254,54.4319,2.4849,53.4796,23.775927,70.207952,1010.247253,32.180983999999995,36.603631500000006,49.236982999999995
20250402T0200+0400,Fidas Station (ACCESS),24.5254,54.4319,1.4547,24.1087,23.312347,71.768162,1009.587891,35.614211999999995,40.909985,57.7259945
20250402T0300+0400,Fidas Station (ACCESS),24.5254,54.4319,0.0,0.0,23.3814965,71.321924,1009.4642945,39.000275,44.0797175,58.1663745
20250402T0400+0400,Fidas Station (ACCESS),24.5254,54.4319,2.8289999999999997,189.98014999999998,23.406364500000002,71.06036399999999,1009.1139835,38.867557500000004,44.447397,62.9044375
20250402T0500+0400,Fidas Station (ACCESS),24.5254,54.4319,2.9815,198.6728,22.9054295,66.0555945,1009.6291195,40.6368775,53.152046999999996,92.83065149999999
20250402T0600+0400,Fidas Station (ACCESS),24.5254,54.4319,2.3427499999999997,183.5946,23.296818000000002,64.87942699999999,1010.398376,37.802149,47.2060135,76.7265765
